Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
MAZDA,MAZDA6,MID-SIZE,2.5,4.0,AS6,X,9.0,6.7,8.0,35.0,188.0
ROLLS-ROYCE,PHANTOM EWB,FULL-SIZE,6.7,12.0,AS8,Z,20.7,12.9,17.2,16.0,404.0
CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4.0,AS6,D,8.7,5.1,7.1,40.0,192.0
VOLKSWAGEN,GOLF SPORTWAGEN 4MOTION,STATION WAGON - SMALL,1.8,4.0,AM6,X,10.6,8.0,9.4,30.0,220.0
FIAT,124 SPIDER,TWO-SEATER,1.4,4.0,A6,X,9.3,6.5,8.0,35.0,187.0
TOYOTA,COROLLA,MID-SIZE,1.8,4.0,AV7,X,8.3,6.7,7.6,37.0,178.0
LEXUS,LC 500H,SUBCOMPACT,3.5,6.0,AV10,Z,9.0,7.1,8.1,35.0,189.0
MERCEDES-BENZ,S 560 4MATIC,FULL-SIZE,4.0,8.0,A9,Z,13.5,8.6,11.3,25.0,265.0
CADILLAC,SRX AWD,SUV - STANDARD,3.6,6.0,AS6,X,14.8,10.4,12.8,22.0,300.0
MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,2.0,4.0,M6,Z,10.8,7.7,9.4,30.0,220.0
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4.0,M6,X,8.4,5.6,7.1,40.0,163.0
MERCEDES-BENZ,AMG C 63 CABRIOLET,SUBCOMPACT,4.0,8.0,A7,Z,14.0,10.4,12.4,23.0,291.0
FORD,C-MAX HYBRID,FULL-SIZE,2.0,4.0,AV,X,5.6,6.4,6.0,47.0,138.0
VOLKSWAGEN,TIGUAN,SUV - SMALL,2.0,4.0,AS6,Z,11.7,9.5,10.7,26.0,251.0
NISSAN,PATHFINDER 4WD PLATINUM,SUV - SMALL,3.5,6.0,AV,X,12.4,9.2,11.0,26.0,259.0
LEXUS,GX 460,SUV - STANDARD,4.6,8.0,AS6,Z,15.7,11.8,13.9,20.0,320.0
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.3,6.0,AS6,X,12.1,9.3,10.8,26.0,254.0
FORD,F-150,PICKUP TRUCK - STANDARD,2.7,6.0,AS10,X,12.0,8.9,10.6,27.0,249.0
CHEVROLET,SUBURBAN FFV,SUV - STANDARD,5.3,8.0,A6,X,15.1,10.4,13.0,22.0,305.0
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8.0,AS10,E,20.0,14.8,17.6,16.0,293.0
BMW,535I XDRIVE,MID-SIZE,3.0,6.0,AS8,Z,11.9,8.1,10.2,28.0,238.0
GMC,SIERRA FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,E,19.9,14.0,17.2,16.0,286.0
FORD,F-150 (PAYLOAD PKG),PICKUP TRUCK - STANDARD,3.5,6.0,AS10,X,13.9,11.2,12.7,22.0,298.0
FORD,MUSTANG,SUBCOMPACT,2.3,4.0,AS6,X,11.0,7.4,9.4,30.0,216.0
JAGUAR,XKR CONVERTIBLE,MINICOMPACT,5.0,8.0,AS6,Z,15.9,10.9,13.7,21.0,315.0
SUBARU,OUTBACK AWD,SUV - SMALL,2.5,4.0,AV6,X,9.4,7.3,8.4,34.0,198.0
BMW,428I CABRIOLET,SUBCOMPACT,2.0,4.0,AS8,Z,10.4,7.1,8.9,32.0,205.0
HYUNDAI,IONIQ,FULL-SIZE,1.6,4.0,AM6,X,4.3,4.4,4.4,64.0,103.0
AUDI,A8,MID-SIZE,4.0,8.0,AS8,Z,12.9,8.0,10.7,26.0,249.0
SUBARU,XV CROSSTREK AWD,SUV - SMALL,2.0,4.0,AV6,X,9.1,7.0,8.1,35.0,191.0
TOYOTA,PRIUS,MID-SIZE,1.8,4.0,AV,X,4.4,4.7,4.5,63.0,106.0
FIAT,500 ABARTH CABRIO,MINICOMPACT,1.4,4.0,M5,X,8.5,6.9,7.8,36.0,179.0
FORD,F-150 FFV 4X4 (PAYLOAD PKG),PICKUP TRUCK - STANDARD,5.0,8.0,AS6,E,22.2,16.5,19.6,14.0,326.0
PORSCHE,911 TARGA 4S,MINICOMPACT,3.8,6.0,M7,Z,13.1,9.2,11.4,25.0,267.0
PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3.0,6.0,M7,Z,12.2,8.5,10.5,27.0,246.0
ASTON MARTIN,DB11 AMR,MINICOMPACT,5.2,12.0,A8,Z,15.5,10.6,13.3,21.0,312.0
CHEVROLET,SPARK,SUBCOMPACT,1.4,4.0,M5,X,8.0,6.0,7.1,40.0,166.0
PORSCHE,BOXSTER GTS,TWO-SEATER,2.5,4.0,M6,Z,12.3,9.4,11.0,26.0,257.0
RAM,1500 4X4 ETORQUE,PICKUP TRUCK - STANDARD,3.6,6.0,A8,X,12.2,9.7,11.1,25.0,260.0
GENESIS,G80 AWD,FULL-SIZE,5.0,8.0,AS8,Z,17.2,10.5,14.2,20.0,332.0
BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6.0,A6,X,16.1,10.8,13.7,21.0,323.0
LEXUS,IS 350 AWD,COMPACT,3.5,6.0,AS6,Z,12.3,9.1,10.9,26.0,254.0
KIA,RIO,COMPACT,1.6,4.0,M6,X,7.8,6.0,7.0,40.0,167.0
NISSAN,370Z,TWO-SEATER,3.7,6.0,M6,Z,13.3,9.3,11.5,25.0,264.0
FORD,F-150 FFV (PAYLOAD PKG),PICKUP TRUCK - STANDARD,5.0,8.0,AS6,E,20.5,14.3,17.7,16.0,291.0
DODGE,DURANGO AWD (MDS),SUV - STANDARD,5.7,8.0,A8,X,16.7,10.7,14.0,20.0,329.0
MERCEDES-BENZ,GLK 250 BLUETEC 4MATIC,SUV - SMALL,2.1,4.0,AS7,D,9.6,7.0,8.5,33.0,230.0
VOLKSWAGEN,JETTA,COMPACT,2.0,4.0,M6,X,10.2,7.2,8.9,32.0,208.0
LAMBORGHINI,AVENTADOR S COUPE,TWO-SEATER,6.5,12.0,AM7,Z,23.8,14.1,19.4,15.0,454.0
CADILLAC,CTS SEDAN,MID-SIZE,2.0,4.0,AS6,Z,11.9,7.9,10.1,28.0,232.0
FORD,FUSION,MID-SIZE,2.0,4.0,AS6,X,10.5,7.0,8.9,32.0,205.0
INFINITI,QX60,SUV - SMALL,3.5,6.0,AV7,Z,11.9,8.8,10.5,27.0,246.0
BENTLEY,CONTINENTAL GT,COMPACT,6.0,12.0,AM8,Z,19.0,11.6,15.7,18.0,364.0
NISSAN,370Z ROADSTER,TWO-SEATER,3.7,6.0,M6,Z,13.5,9.6,11.7,24.0,269.0
LAMBORGHINI,AVENTADOR ROADSTER,TWO-SEATER,6.5,12.0,AM7,Z,24.2,14.5,19.8,14.0,464.0
MAZDA,MX-5,TWO-SEATER,2.0,4.0,AS6,Z,9.0,6.6,7.9,36.0,186.0
BMW,X3 XDRIVE28I,SUV - SMALL,2.0,4.0,AS8,Z,11.1,8.4,9.9,29.0,228.0
BMW,X6 XDRIVE35I,SUV - STANDARD,3.0,6.0,A8,Z,13.6,9.8,11.9,24.0,274.0
MERCEDES-BENZ,SL 550,TWO-SEATER,4.7,8.0,A9,Z,13.5,9.6,11.8,24.0,275.0
CHEVROLET,MALIBU,MID-SIZE,2.5,4.0,AS6,X,9.3,6.4,8.0,35.0,184.0
KIA,SEDONA SX,MINIVAN,3.3,6.0,AS6,X,12.9,9.5,11.4,25.0,262.0
AUDI,Q7 TDI (MODIFIED),SUV - STANDARD,3.0,6.0,AS8,D,12.4,8.7,10.7,26.0,290.0
TOYOTA,CAMRY HYBRID XLE/SE,MID-SIZE,2.5,4.0,AV,X,5.7,6.1,5.9,48.0,136.0
JEEP,COMPASS,SUV - SMALL,2.4,4.0,A6,X,11.2,8.6,10.0,28.0,230.0
JEEP,CHEROKEE 4X4,SUV - SMALL,2.4,4.0,A9,X,11.3,8.3,10.0,28.0,230.0
NISSAN,JUKE,STATION WAGON - SMALL,1.6,4.0,M6,Z,8.5,6.9,7.8,36.0,183.0
BMW,435I COUPE,COMPACT,3.0,6.0,AS8,Z,11.6,7.7,9.9,29.0,232.0
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,E,30.0,20.4,25.7,11.0,411.0
DODGE,CHARGER SRT HELLCAT,FULL-SIZE,6.2,8.0,A8,Z,17.6,10.7,14.5,19.0,339.0
CHEVROLET,IMPALA,FULL-SIZE,3.6,6.0,AS6,X,12.8,8.5,10.9,26.0,255.0
MAZDA,CX-9 4WD,SUV - SMALL,3.7,6.0,AS6,X,14.3,10.6,12.6,22.0,290.0
BMW,328I XDRIVE SEDAN,COMPACT,2.0,4.0,AS8,Z,10.6,7.2,9.1,31.0,209.0
SMART,FORTWO COUPE,TWO-SEATER,0.9,3.0,AM6,Z,7.5,6.1,6.9,41.0,157.0
KIA,SOUL,STATION WAGON - SMALL,2.0,4.0,A6,X,10.1,7.8,9.1,31.0,209.0
KIA,SOUL,STATION WAGON - SMALL,2.0,4.0,M6,X,9.6,7.6,8.7,32.0,206.0
PORSCHE,PANAMERA TURBO EXECUTIVE,FULL-SIZE,4.8,8.0,AM7,Z,15.4,9.8,12.9,22.0,303.0
MINI,COOPER S CONVERTIBLE,MINICOMPACT,1.6,4.0,M6,Z,9.1,6.7,8.0,35.0,184.0
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8.0,AM7,Z,17.2,11.6,14.7,19.0,343.0
CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6.0,A6,X,15.8,10.6,13.4,21.0,315.0
CADILLAC,CTS SEDAN,MID-SIZE,3.6,6.0,AS8,X,12.9,8.2,10.8,26.0,248.0
TOYOTA,AVALON,MID-SIZE,3.5,6.0,AS6,X,11.4,7.7,9.7,29.0,226.0
CHEVROLET,SONIC 5,MID-SIZE,1.4,4.0,AS6,X,9.0,6.8,8.0,35.0,184.0
GMC,YUKON XL,SUV - STANDARD,5.3,8.0,A6,X,15.7,10.5,13.4,21.0,314.0
JAGUAR,F-TYPE S COUPE,TWO-SEATER,3.0,6.0,AS8,Z,12.4,8.8,10.8,26.0,253.0
FORD,MUSTANG,SUBCOMPACT,5.0,8.0,M6,X,16.1,9.9,13.3,21.0,312.0
CHEVROLET,SONIC 5 RS,STATION WAGON - SMALL,1.4,4.0,M6,X,8.9,7.0,8.0,35.0,189.0
FORD,EXPLORER,SUV - STANDARD,2.3,4.0,AS6,X,12.6,8.5,10.8,26.0,253.0
JEEP,CHEROKEE,SUV - SMALL,3.2,6.0,A9,X,11.4,8.1,9.9,29.0,233.0
NISSAN,SENTRA NISMO,MID-SIZE,1.6,4.0,M6,Z,9.5,7.6,8.7,32.0,204.0
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8.0,A6,X,14.9,10.1,12.7,22.0,292.0
ASTON MARTIN,RAPIDE AMR,SUBCOMPACT,6.0,12.0,A8,Z,16.7,10.9,14.1,20.0,332.0
CHEVROLET,IMPALA,FULL-SIZE,2.5,4.0,AS6,X,10.6,7.5,9.2,31.0,215.0
SUBARU,LEGACY AWD,MID-SIZE,2.5,4.0,M6,X,10.7,7.8,9.4,30.0,216.0
TOYOTA,COROLLA IM,MID-SIZE,1.8,4.0,M6,X,8.8,6.8,7.9,36.0,185.0
