iter	Passed	Remaining
0	16	1644
1	41	2028
2	58	1888
3	74	1793
4	89	1707
5	105	1654
6	120	1603
7	136	1568
8	152	1543
9	167	1508
10	182	1477
11	198	1455
12	213	1430
13	229	1409
14	245	1393
15	260	1369
16	276	1350
17	291	1330
18	310	1322
19	325	1300
20	339	1277
21	353	1254
22	368	1235
23	384	1216
24	400	1200
25	415	1183
26	438	1184
27	459	1180
28	477	1168
29	493	1150
30	508	1132
31	524	1113
32	540	1097
33	563	1093
34	586	1089
35	602	1070
36	621	1058
37	643	1050
38	662	1036
39	678	1018
40	695	1000
41	709	980
42	725	961
43	741	943
44	757	926
45	771	905
46	794	896
47	816	885
48	832	866
49	849	849
50	872	838
51	891	823
52	908	805
53	926	789
54	949	776
55	970	762
56	986	743
57	1002	726
58	1018	707
59	1033	689
60	1049	670
61	1064	652
62	1079	633
63	1094	615
64	1109	597
65	1124	579
66	1141	562
67	1166	549
68	1184	532
69	1202	515
70	1218	497
71	1234	480
72	1251	462
73	1272	447
74	1290	430
75	1305	412
76	1321	394
77	1339	377
78	1355	360
79	1372	343
80	1389	325
81	1405	308
82	1421	291
83	1436	273
84	1451	256
85	1468	239
86	1486	222
87	1502	204
88	1518	187
89	1533	170
90	1548	153
91	1573	136
92	1591	119
93	1607	102
94	1623	85
95	1638	68
96	1653	51
97	1669	34
98	1684	17
99	1700	0
